\bfseries{Full time period},,,
IMD1,1 (1-1),1 (1-1),1 (1-1)
IMD2,1.086 (1.059-1.113),1.107 (1.074-1.14),0.983 (0.981-0.985)
IMD3,1.27 (1.241-1.301),1.327 (1.29-1.366),1.003 (1-1.005)
IMD4,1.372 (1.34-1.406),1.479 (1.437-1.521),1.016 (1.014-1.019)
IMD5,1.647 (1.609-1.687),1.805 (1.754-1.856),1.029 (1.027-1.031)
\bfseries{WT},,,
IMD1,1 (1-1),1 (1-1),1 (1-1)
IMD2,1.194 (1.144-1.247),1.271 (1.212-1.333),0.937 (0.904-0.972)
IMD3,1.415 (1.357-1.475),1.532 (1.464-1.604),1.088 (1.049-1.129)
IMD4,1.553 (1.49-1.619),1.669 (1.594-1.748),1.18 (1.14-1.221)
IMD5,1.894 (1.819-1.973),2.069 (1.978-2.165),1.397 (1.349-1.446)
\bfseries{Alpha},,,
IMD1,1 (1-1),1 (1-1),1 (1-1)
IMD2,1.037 (1.002-1.073),1.047 (1.002-1.094),1.159 (1.153-1.166)
IMD3,1.239 (1.199-1.28),1.26 (1.209-1.314),1.284 (1.277-1.291)
IMD4,1.28 (1.238-1.324),1.376 (1.318-1.435),1.379 (1.371-1.387)
IMD5,1.501 (1.45-1.553),1.673 (1.602-1.747),1.454 (1.445-1.462)
\bfseries{Delta},,,
IMD1,1 (1-1),1 (1-1),1 (1-1)
IMD2,1.145 (1.063-1.234),1.105 (1.02-1.196),0.948 (0.945-0.951)
IMD3,1.402 (1.305-1.506),1.339 (1.24-1.446),0.937 (0.934-0.94)
IMD4,1.61 (1.5-1.729),1.632 (1.514-1.76),0.906 (0.903-0.909)
IMD5,1.948 (1.816-2.09),1.977 (1.834-2.131),0.871 (0.868-0.874)
\bfseries{Omicron},,,
IMD1,1 (1-1),1 (1-1),1 (1-1)
IMD2,1.023 (0.939-1.114),0.995 (0.895-1.105),0.994 (0.99-0.998)
IMD3,1.11 (1.02-1.207),1.074 (0.969-1.191),0.991 (0.987-0.995)
IMD4,1.332 (1.226-1.447),1.333 (1.204-1.475),0.991 (0.987-0.995)
IMD5,1.465 (1.348-1.592),1.386 (1.251-1.535),0.961 (0.957-0.965)
