\bfseries{Full time period},,,
White,1 (1-1),1 (1-1),1 (1-1)
Black,1.487 (1.432-1.543),1.555 (1.533-1.577),0.894 (0.892-0.897)
Mixed/Other,0.895 (0.843-0.949),0.77 (0.756-0.785),0.429 (0.428-0.431)
Asian (other),1.242 (1.172-1.315),1.174 (1.15-1.199),0.784 (0.782-0.787)
South Asian,1.633 (1.587-1.681),1.421 (1.404-1.438),0.885 (0.883-0.887)
\bfseries{WT},,,
White,1 (1-1),1 (1-1),1 (1-1)
Black,1.381 (1.28-1.489),1.64 (1.592-1.691),1.746 (1.689-1.804)
Mixed/Other,0.749 (0.66-0.849),1.077 (1.036-1.12),1 (0.967-1.035)
Asian (other),1.322 (1.189-1.469),1.526 (1.468-1.587),1.557 (1.506-1.609)
South Asian,1.801 (1.718-1.888),1.96 (1.92-2.002),2.883 (2.798-2.97)
\bfseries{Alpha},,,
White,1 (1-1),1 (1-1),1 (1-1)
Black,1.436 (1.362-1.514),1.87 (1.824-1.918),1.185 (1.178-1.193)
Mixed/Other,0.93 (0.858-1.008),1.142 (1.104-1.18),0.664 (0.659-0.668)
Asian (other),1.323 (1.225-1.429),1.566 (1.514-1.62),1.035 (1.027-1.043)
South Asian,1.634 (1.567-1.703),1.775 (1.738-1.813),1.444 (1.437-1.451)
\bfseries{Delta},,,
White,1 (1-1),1 (1-1),1 (1-1)
Black,1.45 (1.322-1.592),1.213 (1.181-1.247),0.735 (0.731-0.738)
Mixed/Other,0.82 (0.706-0.954),0.58 (0.559-0.602),0.359 (0.357-0.361)
Asian (other),0.813 (0.681-0.971),0.795 (0.759-0.832),0.601 (0.597-0.605)
South Asian,1.69 (1.567-1.823),1.143 (1.115-1.172),0.64 (0.637-0.642)
\bfseries{Omicron},,,
White,1 (1-1),1 (1-1),1 (1-1)
Black,0.989 (0.866-1.128),1.161 (1.125-1.198),0.9 (0.895-0.904)
Mixed/Other,0.652 (0.527-0.806),0.482 (0.462-0.502),0.38 (0.377-0.382)
Asian (other),0.767 (0.604-0.973),0.744 (0.706-0.783),0.853 (0.848-0.859)
South Asian,0.78 (0.684-0.888),0.85 (0.826-0.875),0.722 (0.719-0.726)
